specific_humidity,LW_down,SW_down,rainfall,sst,t2m,GBI_history,GBI
1.658922412,231.9385908,36.33365113,1.67665906,272.4681115,259.218109,5141.09733,5122.10472
1.737521431,232.480144,41.31450742,0.723268383,272.4781548,262.1276844,5130.2227,5116.36804
1.611856822,223.424405,38.70113746,0.405657937,272.4806988,262.0722213,5121.95055,5106.48213
1.302861678,217.3846431,41.55834153,0.463630297,272.4802732,259.5413265,5121.15269,5097.90347
1.363993748,213.962804,44.29465282,0.651012435,272.4743925,258.9229963,5113.9606,5097.88341
1.225364265,197.9944512,48.0793747,0.861835412,272.4614291,257.9193823,5105.71851,5113.15656
0.753037635,183.2427213,51.07992404,0.6779516,272.4233261,254.0843507,5108.50405,5140.67145
0.513678074,173.2524835,60.05313492,0.71408017,272.3873752,251.7534322,5118.93248,5168.32532
0.472806793,176.0714719,60.66630307,0.688798054,272.3611992,250.905656,5122.10472,5182.83242
0.528294601,181.3467006,64.41127097,1.224364001,272.3370599,251.1290053,5116.36804,5184.14618
0.553962113,188.7054382,61.6855029,1.391210374,272.3311999,251.4155886,5106.48213,5179.53371
0.600211607,191.141469,62.35335457,1.581175734,272.3167771,252.4756223,5097.90347,5168.78318
0.658942513,194.8739806,69.53718318,1.247696609,272.3057334,253.3530214,5097.88341,5157.17715
0.79986124,197.1453152,70.8656134,1.152433399,272.3036821,254.9501931,5113.15656,5154.45485
0.759118777,200.6377481,76.07843031,0.751708106,272.2981842,255.0451955,5140.67145,5159.13468
0.840041253,203.1485828,72.29332471,0.671757688,272.2934066,255.2378812,5168.32532,5163.30444
0.809972295,194.9902133,81.67559208,0.417589552,272.2931469,254.8740852,5182.83242,5167.48854
0.856306731,197.3907774,80.25013693,0.807909215,272.2876188,254.657665,5184.14618,5178.88072
1.1235614,209.2828283,80.68542826,1.125150646,272.3043802,255.0640904,5179.53371,5191.88646
1.422409697,218.7601618,83.65463431,1.293342414,272.321048,257.3579347,5168.78318,5199.32802
1.735118277,225.8882133,89.77565007,0.735426068,272.3276508,260.258251,5157.17715,5201.65257
2.088366993,234.6737733,91.17336153,0.760537604,272.3357527,261.7648506,5154.45485,5204.79488
1.99801249,227.7425045,88.67102965,0.616031354,272.3375477,261.699455,5159.13468,5207.1477
1.581667456,219.7532715,97.83962287,0.379320471,272.3367285,259.9881721,5163.30444,5194.4173
1.363199512,218.1854945,105.0398661,0.309294127,272.3381555,259.5049838,5167.48854,5162.92078
1.224306053,217.8104097,104.8099349,0.242993636,272.338883,259.3652136,5178.88072,5122.52296
1.123857484,214.221453,107.099208,0.290683838,272.3493641,259.2181816,5191.88646,5084.72552
1.144448409,215.3241573,111.0584739,0.201393781,272.3627496,258.7983827,5199.32802,5058.1645
1.161464832,218.4786477,114.0672862,0.335244217,272.3662839,258.7994595,5201.65257,5056.73473
1.134527361,219.6708521,115.3146489,0.587347602,272.3695964,259.1786826,5204.79488,5073.84371
1.163491544,220.4091443,116.5072602,1.063715637,272.3790848,258.9941113,5207.1477,5084.05263
1.139264394,214.8852375,120.3697303,0.959713064,272.3868972,258.9598835,5194.4173,5081.51273
1.132103208,210.0841412,129.5775177,0.64155936,272.3821261,259.1855077,5162.92078,5063.7773
1.040340888,206.1957718,132.1529795,0.412905408,272.374167,258.1225034,5122.52296,5041.7781
0.951423275,200.5511071,138.6444989,0.760963808,272.3575642,257.2326463,5084.72552,5032.51245
0.85150931,198.3707472,137.1216724,0.840354027,272.3410956,256.0947537,5058.1645,5038.51735
0.703138428,200.1986937,131.3180076,1.645283648,272.3293613,255.0113866,5056.73473,5059.63106
0.767733882,202.0761332,145.8908598,1.068225606,272.3224524,255.239937,5073.84371,5086.88531
0.841892455,210.4745775,142.043061,0.707152863,272.3212958,256.6424108,5084.05263,5115.42619
0.875030101,217.790214,145.9832948,0.889128517,272.3237929,257.0639692,5081.51273,5140.41383
0.971679139,221.6431626,147.8818629,0.916075148,272.3144881,258.1822731,5063.7773,5153.45205
1.000080249,229.2240234,141.8210463,1.631517498,272.3000297,258.8267834,5041.7781,5150.24144
1.232728588,232.8922186,152.6654663,0.699995039,272.2923552,261.2150757,5032.51245,5139.53867
1.451647697,238.2892319,148.7814828,0.521548829,272.2854297,262.0510071,5038.51735,5124.45269
1.431397818,238.8874542,152.2826198,1.544682077,272.2795251,262.152131,5059.63106,5101.44629
1.625878409,239.8427427,156.2994991,0.695727432,272.2776405,262.8555288,5086.88531,5077.25969
1.534197762,240.8529695,156.4957368,0.970645401,272.2797557,261.868644,5115.42619,5052.11569
1.496066009,237.1608768,162.8827764,0.657281818,272.2886495,262.2718985,5140.41383,5019.55487
1.349848387,227.5494793,175.7213998,0.385212219,272.3021719,261.5668033,5153.45205,4982.61984
1.235731965,231.459109,180.7161783,0.6942624,272.3192919,260.7591882,5150.24144,4955.55673
1.614111583,243.1710458,168.483832,1.343806386,272.336858,262.4726142,5139.53867,4939.85046
1.894510533,246.2872802,163.1335369,1.426553371,272.3557655,263.2864688,5124.45269,4930.68918
1.812227192,244.4575011,175.7667955,0.795988541,272.3639906,263.6946113,5101.44629,4919.21585
1.804301949,240.8285832,172.2958547,1.707230346,272.3615887,263.4573746,5077.25969,4907.15975
1.852167485,247.6452042,179.3786713,2.047494175,272.3675819,263.3962429,5052.11569,4913.01566
2.403224122,258.68835,169.6331243,2.153053763,272.3751155,265.7431473,5019.55487,4935.8068
2.504236482,248.9986214,211.7990911,0.649618956,272.3980861,267.9277633,4982.61984,4962.59346
2.289060179,258.5764909,184.6896825,2.581532311,272.4279352,267.5457302,4955.55673,4986.70993
2.778105284,263.6297458,189.6594882,1.644258447,272.4450851,268.3527059,4939.85046,5008.63095
2.542230356,241.6934126,209.1016677,0.85545415,272.4607969,268.1396083,4930.68918,5027.09875
1.770919741,237.4479494,212.5208433,1.355203385,272.4686847,266.1603159,4919.21585,5029.37657
1.641161243,235.0076375,202.7488863,1.335070821,272.4743387,265.351541,4907.15975,5015.15818
1.376958469,233.2416744,222.862466,0.849815436,272.4917521,263.9514968,4913.01566,4999.59555
1.678702335,234.8347491,234.2367162,0.908961442,272.5094161,265.2429056,4935.8068,4993.35404
1.966068207,244.0218033,235.6993831,1.53642141,272.5031881,266.7110022,4962.59346,4992.91143
1.981204642,252.4113033,216.0708131,1.686677509,272.4953871,267.180044,4986.70993,4990.00021
1.894693547,245.5984141,228.8290092,1.1136473,272.4871305,267.3347623,5008.63095,4998.17672
1.734564275,263.7031376,206.3414952,2.312047531,272.4814832,266.5079479,5027.09875,5023.93718
2.205787889,260.0329735,202.9197807,2.701384394,272.4940754,267.7319642,5029.37657,5043.95269
1.990667023,260.360516,217.5290653,1.044400561,272.4927147,268.0352366,5015.15818,5046.31236
2.011647951,265.8357897,209.9686104,0.982707917,272.4882713,268.0021715,4999.59555,5045.81566
1.995308256,274.4365348,179.5442228,3.602092187,272.4803781,268.1430231,4993.35404,5052.44282
2.397936061,269.8642583,207.4909637,1.196497168,272.4768978,269.3632348,4992.91143,5078.59346
2.266491308,265.7619531,226.9331666,1.287105553,272.4861324,269.4093616,4990.00021,5123.15275
2.053554552,255.9953235,232.2294135,0.574952846,272.5031351,269.1545448,4998.17672,5166.74053
1.863510907,261.0985811,236.425197,0.682335568,272.523148,269.117344,5023.93718,5202.56777
2.012878014,263.7912585,223.1207483,0.623680593,272.5411795,269.1446626,5043.95269,5219.01885
1.873170526,256.8209724,243.0898444,0.685726767,272.5577345,268.9046057,5046.31236,5235.6625
2.021219941,272.3700801,208.8075925,1.739045084,272.5752769,269.1873712,5045.81566,5254.44678
2.620916823,277.2814688,218.8626506,2.173708404,272.5941092,270.1314688,5052.44282,5269.82888
2.752958872,272.9605976,210.4275225,1.77578529,272.6121981,270.7687633,5078.59346,5301.96622
2.524389324,267.3985963,245.9546941,0.622442145,272.6299634,270.9970451,5123.15275,5345.53811
2.686974965,278.2569546,231.2123462,3.89200046,272.6457397,271.3361141,5166.74053,5393.74793
2.929769798,283.760561,193.3672968,3.38601838,272.6584797,271.8046395,5202.56777,5444.78014
